Feature Removed,Included Columns,P-Values,R,RMSE
sea_level,"['age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m']","{'const': 0.384482638564858, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 1.4514187299674607e-10, 'rolling_3m': 0.00024246845835727057, 'rolling_6m': 1.93468639304566e-09}",0.8951015515492394,0.044326874568590795
age_cat_Monthly_Percent,"['sea_level', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m']","{'const': 9.275422819248592e-06, 'sea_level': 1.5869848037392374e-05, 'age_cat_Yearly_Percent': 0.0, 'rolling_3m': 0.7986996176566014, 'rolling_6m': 3.946048147505275e-14}",0.661763017641641,0.09368659672688975
age_cat_Yearly_Percent,"['sea_level', 'age_cat_Monthly_Percent', 'rolling_3m', 'rolling_6m']","{'const': 0.4347773494027889, 'sea_level': 0.24551790819832336, 'age_cat_Monthly_Percent': 0.0, 'rolling_3m': 0.0001270008311489708, 'rolling_6m': 3.127505403801564e-08}",0.8939516542188339,0.04370073693506205
rolling_3m,"['sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_6m']","{'const': 0.3129860932111187, 'sea_level': 0.12083570427875193, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 4.537180304631185e-11, 'rolling_6m': 4.77160405132426e-07}",0.8947827304125648,0.04424329308698877
rolling_6m,"['sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m']","{'const': 0.06604666711640307, 'sea_level': 0.05628548606066767, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 7.160135351070836e-10, 'rolling_3m': 0.0449026720752142}",0.8941652447035738,0.04406383110281466
